,Operator,Fatalities
531,BAL Bremerhaven Airline,8.0
532,BHS - Brazilian Helicopter Service  Air Taxi,6.0
533,BHS - Brazilian Helicopter Service Air Taxi,5.0
534,BHS - Brazilian Helicopter Services,5.0
535,BKS Air Transport,6.0
536,BOAC,25.0
537,Bahri Aviation,5.0
538,Baikal Air,124.0
539,Baker Aero Inc. - Taxi,2.0
540,Bakhtar Afghan Airlines,76.0
541,Bako Air,7.0
542,Balair,12.0
543,Bali International Air Service,55.0
544,Balkan Bulgarian Airlines,346.0
545,Bangkok Airways,38.0
546,Bangladesh Biman,49.0
547,Bankair,3.0
548,Bankair Inc. - Air Taxi,5.0
549,Bar Harbor Airlines,8.0
550,Baron Aviation,2.0
551,Barrow Air Service - Air Taxi,7.0
552,Bashkirian Airlines / DHL Worldwide Express,71.0
553,Bassett Complany - Taxi,6.0
554,Bavaria Flug,11.0
555,Bay Land Aviation,5.0
556,Bazair,27.0
557,Bearskin Airlines / Air Sandy,8.0
558,Beatty Flying Service - Taxi,2.0
559,Belair - Air Taxi,5.0
560,Belgian International Air Services,4.0
561,Belize Air International Ltd.,5.0
562,Bellview Airlines,117.0
563,Berkshire Aviation - Air Taxi,2.0
564,Bharat Airways,7.0
565,Big Island Airlines,11.0
566,Bimini Air Charter Inc.,5.0
567,Bimini Airways,5.0
568,Binter Mediterráneo,4.0
569,Blackhawk Int. Airways  - Private charter,9.0
570,Blue Bird Air Service,4.0
571,Blue Bird Aviation,2.0
572,Blue Hawaiian Helicopters,7.0
573,Blue Water Aviation Services,1.0
574,Blue Wing Airlines,19.0
575,Boeing Air Transport,6.0
576,Boeing Aircraft Company,18.0
577,Boeing KC-135E,2.0
578,Boise Air Service,6.0
579,Bombardier Aerospace,2.0
580,Bonanza Airlines,29.0
581,Bond Offshore Helicopters,16.0
582,Borneo Airways,10.0
583,Bourag Indonesia Airlines,10.0
584,Bouraq Indonesia Airlines,54.0
585,Braathens,42.0
586,Bradley Air Services,13.0
587,Braniff Airlines,216.0
588,Braniff Airways,8.0
589,Bremerton-Seattle Air Taxi / Gorst Air Lines,2.0
590,Bristol 170 Freighter 31M,2.0
591,Bristol Aeroplane Co.,15.0
592,Bristow Helicopters,24.0
593,Brit Air,1.0
594,Britannia Airways,98.0
595,Britavia,5.0
596,British Aircraft Corporation,7.0
597,British Airtours,55.0
598,British Airways,13.0
599,British Airways Helicopters,20.0
600,British Columbia Airways,7.0
601,British Commonwealth PacifiAirlines,19.0
602,British Eagle International Airlines,131.0
603,British European Airways,512.0
604,British European Airways / Military - British,14.0
605,British European Airways / Military - Soviet Air Force,15.0
606,British International Helicopters,45.0
607,British Midland Airways,119.0
608,British Overseas Airways,506.0
609,British Overseas Airways /Qantas,10.0
610,British South American Airways,95.0
611,British United Airways,26.0
612,British World Airways,1.0
613,Britt Airways,3.0
614,Broughton Air Servces,10.0
615,Broward Aviation Services - Air Taxi,5.0
616,Bruning Aviation,2.0
617,Bruno Air,9.0
618,Bruns Air Service - Air Taxi,4.0
619,Buckeye Air Service - Air Taxi,2.0
620,Buffalo Narrows Airways,2.0
621,Bulair TABSO,47.0
622,Burke Air Transport,14.0
623,Burlington Air - Air Taxi,2.0
624,Burlington Air Express,4.0
625,Burma Airways,250.0
626,Business Air Connection,4.0
627,Business Aircraft - Air Taxi,3.0
628,Business Jet Services,3.0
629,Butler Aviation Inc.,12.0
630,By Air,1.0
631,C and C Aviaiton - Air Taxi,5.0
632,CAAC,251.0
633,CAAC Air TraffiManagement Bureau,3.0
634,CAAK,23.0
635,CAMBA,10.0
636,CATA,4.0
637,CATA Linea Aerea,5.0
638,CC Air,2.0
639,CCCP,2.0
640,CIDNA,17.0
641,COHATA,30.0
642,COPA (Panama),47.0
643,CORAL Colombia,14.0
644,CSA Czech Airlines,16.0
645,CTA LanguedoRoussillon,23.0
646,Cable Commuter,9.0
647,Cabo Verde Airlines,1.0
648,Calair,2.0
649,Caledonian Airways,111.0
650,California Air Charter,1.0
651,California Air Freight,2.0
652,California Air National Guard,2.0
653,California Aircraft,3.0
654,Cambodia Air,39.0
655,Cameroon Airlines,78.0
656,Campagnie France Roumaine,2.0
657,Canada Jet Charters,5.0
658,Canadian Air Transat,0.0
659,Canadian Colonial Airways,4.0
660,Canadian PacifiAir Lines,234.0
661,Canair Cargo,2.0
662,Canair Corp. - Air Taxi,4.0
663,Canairelief Air,4.0
664,Cape Smythe Air Service,5.0
665,Capital Airlines,187.0
666,Capital Airlines / Military - Air National Guard,11.0
667,Capital Airlines Inc.,2.0
668,Capital Taxi Aereo,3.0
669,Capitol Air Service - Air Taxi,4.0
670,Capitol Airways,4.0
671,Care Flight International,1.0
672,Carga Aereo Transportada,4.0
673,Carga del Caribe,3.0
674,Cargo Three Panama,2.0
675,Cargolux,4.0
676,Carib Air Transport,7.0
677,Caribbean Air Carrier - Air Taxi,4.0
678,Caribbean Airlines,5.0
679,Caribbean International Airways,13.0
680,Carvair ATL-98,1.0
681,Cascade Airways,9.0
682,Casino Air - Air Taxi,2.0
683,Castle Aviation,2.0
684,Catalina - Vega - Air Taxi,4.0
685,Catalina Airlines,1.0
686,Cathay PacifiAirways,140.0
687,Cebu PacifiAir,104.0
688,Central  Airlines,5.0
689,Central African Airways,50.0
690,Central Air Services,2.0
691,Central Air Transport,22.0
692,Central Airlines,2.0
693,Central Mountain Air Services,22.0
694,Centurian Air Cargo,0.0
695,Century Air Lines,2.0
696,Century PacifiLines,8.0
697,Ceskoslovenske Aerolinie,516.0
698,Ceskoslovenské Aerolinie,9.0
699,Cessnyca,14.0
700,Chaillotine Air Service,6.0
701,Chalk's International Airlines,2.0
702,Chalk's Ocean Airways,20.0
703,Chamberlin Flying Service,1.0
704,Channel Air Lift,3.0
705,Channel Express,2.0
706,Channel Flying Service - Air Taxi,7.0
707,Chartair - Air Taxi,10.0
708,Charter,1.0
709,Charter - Aerotaxi,17.0
710,Charter - Air Adventures New Zealand Ltd,8.0
711,Charter - Air Cush,6.0
712,Charter - Central Air,8.0
713,Charter - Flightline Charter Services,9.0
714,Charter - IRS Aero,27.0
715,Charter - Maniema Union (owner Victoria Air),27.0
716,Charter - Private,2.0
717,Charter - Twin Air HB,8.0
718,Charter -Federal Electricity Commission,19.0
719,"Charter, Golden Eagle Aviation Inc.",30.0
720,Chelan Air Service,2.0
721,Cheremshanka Airlines,28.0
722,Chester Airport,3.0
723,Chicago Helicopter Airways,13.0
724,Chicago Southern Airlines,24.0
725,Chicago and Southern Airlines,2.0
726,Chicago-Detroit Airways,1.0
727,China Air Lines,24.0
728,China Airlines (Taiwan),847.0
729,China Eastern Airlines,91.0
730,China Flying Dragon Aviation (Feilong Airlines),2.0
731,China General Aviation Corporation,108.0
732,China National Aviation Corporation,409.0
733,China Northern Airlines,124.0
734,China Northwest Airlines,215.0
735,China Southern Airlines,176.0
736,China Southwest Airlines,169.0
737,China Southwest Airlines / Xiamen Airlines,128.0
738,Chugiak Aviation - Air Taxi,2.0
739,Churchill Falls Co.,8.0
740,Cia Brasiliera de Tratores,10.0
741,Cie Air Transport,26.0
742,Cie des Messageries Aeriennes,3.0
743,Circuit City Stores - Charter,8.0
744,City-Jet,6.0
745,Civil Air Transport,152.0
746,Clarkes Thunder - Air Taxi,2.0
747,ClassiWings,27.0
748,Coastal Air Lines,18.0
749,Coastal Cargo,2.0
750,College of the Ozarks,6.0
751,Colonial Air Transport,9.0
752,Colonial Western Airlines,17.0
753,Columbia Air Cargo,13.0
754,Columbia PacifiAirlines,17.0
755,Comair,86.0
756,Commercial Air Taxi,33.0
757,Commercial Airways,12.0
758,Commercial Airways (Comair),17.0
759,Commutair,2.0
760,Commuter Airline - Air Taxi,3.0
761,Compagnie Air Transport,4.0
762,Compagnie Internationale de Navigation Aérienne,7.0
763,Compagnie Sila,2.0
764,Compania Dominicana de Aviacion,102.0
